"vid","votecount","votecount_rank"
v36175,204,1457
v666,204,1457
v34041,203,1461
v28420,203,1461
v21177,203,1461
v25144,203,1461
v14556,203,1461
v14610,203,1461
v1545,203,1461
v10659,203,1461
v16069,203,1461
v25124,203,1461
v18057,202,1471
v22303,202,1471
v21769,202,1471
v31138,202,1471
v5258,202,1471
v26531,202,1471
v10839,202,1471
v4271,202,1471
v18709,202,1471
v35280,201,1480
v49261,201,1480
v8438,201,1480
v1060,201,1480
v842,201,1480
v3129,201,1480
v20909,201,1480
v5530,200,1487
v17972,200,1487
v19294,200,1487
v12927,200,1487
v20062,200,1487
v13711,200,1487
v6533,200,1487
v23070,199,1494
v28755,199,1494
v24916,199,1494
v31363,199,1494
v27913,199,1494
v2715,199,1494
v25911,199,1494
v31126,198,1501
v20357,198,1501
v2088,197,1503
v42944,197,1503
v11327,197,1503
v11857,197,1503
v12791,197,1503
v1153,197,1503
v30079,197,1503
v21978,197,1503
v20727,197,1503
v10587,196,1512
v51838,196,1512
v13962,196,1512
v10051,196,1512
v902,196,1512
v22553,196,1512
v20900,196,1512
v11186,196,1512
v11575,195,1520
v10237,195,1520
v1413,195,1520
v21493,195,1520
v7557,194,1524
v12367,194,1524
v37055,194,1524
v18915,194,1524
v20574,194,1524
v30456,194,1524
v1152,194,1524
v18047,193,1531
v1099,193,1531
v30807,193,1531
v26486,193,1531
v5628,193,1531
v10588,193,1531
v24381,192,1537
v18753,192,1537
v2022,192,1537
v34018,192,1537
v1298,192,1537
v14359,192,1537
v20862,192,1537
v15562,192,1537
v28929,192,1537
v28187,192,1537
v31659,192,1537
v18836,192,1537
v916,191,1549
v1495,191,1549
v27685,191,1549
v10047,191,1549
v19391,191,1549
v12186,190,1554
v1758,190,1554
v27791,190,1554
v1160,190,1554
v25684,190,1554
v15639,190,1554
v4851,190,1554
v23290,190,1554
v152,189,1562
v17991,189,1562
v26537,189,1562
v16598,189,1562
v2023,189,1562
v28362,189,1562
v1512,189,1562
v19903,188,1569
v10726,188,1569
v19831,188,1569
v17632,188,1569
v37308,188,1569
v61,188,1569
v9125,187,1575
v13566,187,1575
v18905,187,1575
v12363,187,1575
v21346,186,1579
v20497,186,1579
v17329,186,1579
v5137,186,1579
